mobileCountryCode,mobileNetworkCode,locationAreaCode,cellId,primaryScramblingCode,timeFirst,timeLast,gpsLat,gpsLong
310,410,33803,92302205,0,2016-08-05 02:50:45 +0000,2016-08-05 05:19:01 +0000,36.1278653,-115.1662404
310,410,33803,92302214,0,2016-08-05 02:49:07 +0000,2016-08-05 06:20:28 +0000,36.12852333,-115.1648713
310,410,33803,92558214,0,2016-08-05 02:48:30 +0000,2016-08-05 02:48:57 +0000,36.1285194,-115.1667065
310,410,33803,92302204,0,2016-08-05 02:47:26 +0000,2016-08-05 06:39:43 +0000,36.12939634,-115.1646834
310,410,33803,92176649,0,2016-08-05 02:45:16 +0000,2016-08-05 06:40:38 +0000,36.1297581,-115.1635906
310,410,33803,92357384,0,2016-08-05 02:33:35 +0000,2016-08-05 02:38:13 +0000,36.12608439,-115.1732874
310,410,33803,92263434,0,2016-08-05 02:32:50 +0000,2016-08-05 02:36:21 +0000,36.1309071,-115.1732509
310,410,33803,92190984,0,2016-08-05 02:32:18 +0000,2016-08-05 06:42:59 +0000,36.12877576,-115.1653983
310,410,33803,92190986,0,2016-08-05 02:29:05 +0000,2016-08-05 02:42:19 +0000,36.12659522,-115.1683329
310,410,33808,92192093,0,2016-08-05 02:17:50 +0000,2016-08-05 02:17:50 +0000,36.109489,-115.1731678
310,410,33803,92191242,0,2016-08-05 02:11:35 +0000,2016-08-05 02:11:35 +0000,36.10025104,-115.1728771
310,410,33803,92191241,0,2016-08-05 02:11:05 +0000,2016-08-05 02:11:05 +0000,36.1017942,-115.1705739
310,410,33794,92191241,2147483647,2016-08-05 02:10:57 +0000,2016-08-05 02:12:31 +0000,36.101569,-115.1723145
310,410,33794,92184329,2147483647,2016-08-05 02:02:55 +0000,2016-08-05 02:03:36 +0000,36.0689889,-115.1661645
310,410,33794,92273937,2147483647,2016-08-05 01:53:06 +0000,2016-08-05 01:53:07 +0000,36.0807212,-115.1727611
310,410,33794,92273928,2147483647,2016-08-05 01:49:03 +0000,2016-08-05 02:07:51 +0000,36.1024142,-115.1635333
310,410,33794,92191242,2147483647,2016-08-05 01:45:18 +0000,2016-08-05 02:12:14 +0000,36.10042318,-115.1728559
310,410,33794,92196105,2147483647,2016-08-05 01:45:01 +0000,2016-08-05 01:45:01 +0000,36.09735629,-115.1662113
310,410,33794,92218890,2147483647,2016-08-05 01:42:37 +0000,2016-08-05 01:42:37 +0000,36.10849747,-115.1640808
310,410,33794,92196104,2147483647,2016-08-05 01:41:19 +0000,2016-08-05 01:44:57 +0000,36.1026599,-115.1652672
310,410,33803,92218890,2147483647,2016-08-05 01:40:46 +0000,2016-08-05 01:42:47 +0000,36.1084579,-115.1640925
310,410,33803,92218889,2147483647,2016-08-05 01:38:45 +0000,2016-08-07 11:09:14 +0000,36.11305166,-115.1671849
310,410,33803,92193546,2147483647,2016-08-05 01:36:44 +0000,2016-08-06 17:00:03 +0000,36.1163354,-115.1639038
310,410,33803,92215422,2147483647,2016-08-05 00:33:59 +0000,2016-08-07 11:42:03 +0000,36.11261935,-115.1700128
310,410,33803,92268815,399,2016-08-04 21:53:48 +0000,2016-08-04 21:55:23 +0000,36.11409429,-115.1723911
310,410,33803,92469884,399,2016-08-04 20:39:23 +0000,2016-08-07 08:40:33 +0000,36.1138504,-115.1693402
310,410,33803,92469892,399,2016-08-04 20:38:48 +0000,2016-08-07 08:26:26 +0000,36.1145187,-115.1694744
310,410,33803,92215429,399,2016-08-04 20:02:41 +0000,2016-08-07 05:16:00 +0000,36.1120236,-115.1705576
310,410,33803,92215430,399,2016-08-04 19:57:14 +0000,2016-08-07 16:49:08 +0000,36.1118785,-115.170348
310,410,33803,92215421,399,2016-08-04 19:43:01 +0000,2016-08-04 19:43:01 +0000,36.11348968,-115.1709106
310,410,33808,92215421,399,2016-08-04 19:41:36 +0000,2016-08-05 17:55:21 +0000,36.1123162,-115.1710753
310,410,33803,92207749,399,2016-08-04 19:41:06 +0000,2016-08-07 16:55:53 +0000,36.1119789,-115.1705739
310,410,33803,92207748,399,2016-08-04 19:18:29 +0000,2016-08-05 19:45:10 +0000,36.1126729,-115.1703567
310,410,36989,34015045,399,2016-08-04 19:18:26 +0000,2016-08-07 01:43:00 +0000,36.1082694,-115.1672389
310,410,36989,34015185,399,2016-08-04 19:17:52 +0000,2016-08-04 19:18:23 +0000,36.11335522,-115.1707775
310,410,33803,92211326,2147483647,2016-08-04 19:09:28 +0000,2016-08-05 06:57:23 +0000,36.11360534,-115.1712041
310,410,33803,92213894,136,2016-08-04 19:00:31 +0000,2016-08-07 08:42:32 +0000,36.1142929,-115.1700626
310,410,33803,92211325,136,2016-08-04 18:54:52 +0000,2016-08-07 17:04:45 +0000,36.1145628,-115.1668919
310,410,33803,92211332,136,2016-08-04 18:53:51 +0000,2016-08-07 11:13:24 +0000,36.1144666,-115.1701542
310,410,36989,34015046,80,2016-08-04 18:14:09 +0000,2016-08-07 01:41:16 +0000,36.1122971,-115.1705739
310,410,36989,34015346,6,2016-08-04 18:09:21 +0000,2016-08-06 06:56:44 +0000,36.1119789,-115.1705739
310,410,36989,34015353,39,2016-08-04 18:03:05 +0000,2016-08-04 18:05:26 +0000,36.1130861,-115.171315
310,410,36989,34045346,8,2016-08-04 17:42:10 +0000,2016-08-04 17:52:06 +0000,36.1119789,-115.1705739
310,410,36989,34015352,3,2016-08-04 17:40:39 +0000,2016-08-04 18:07:54 +0000,36.1126154,-115.1705739
310,410,36989,34017443,496,2016-08-04 17:33:24 +0000,2016-08-04 17:33:30 +0000,36.1113985,-115.1731678
310,410,36989,34017437,356,2016-08-04 17:33:18 +0000,2016-08-06 04:06:28 +0000,36.1101255,-115.1731678
310,410,36989,34015156,162,2016-08-04 17:13:07 +0000,2016-08-04 17:23:57 +0000,36.1160757,-115.1750205
310,410,36986,34015767,179,2016-08-04 17:12:25 +0000,2016-08-04 17:12:25 +0000,36.114444,-115.1794671
310,410,36996,33561299,258,2016-08-04 17:08:18 +0000,2016-08-04 17:08:28 +0000,36.11470165,-115.1760933
310,410,36996,33587209,151,2016-08-04 16:53:16 +0000,2016-08-04 16:53:36 +0000,36.0441801,-115.2883887
310,410,36986,34145183,286,2016-08-04 16:52:56 +0000,2016-08-04 16:52:58 +0000,36.11495252,-115.1760279
310,410,36986,34146087,179,2016-08-04 16:51:49 +0000,2016-08-04 17:12:47 +0000,36.11492443,-115.1760039
310,410,36989,34176087,418,2016-08-04 16:49:53 +0000,2016-08-04 16:49:53 +0000,36.1096297,-115.1839136
